{-3.6707673837876595*^6, {theta -> 0.6073090031730013, t2 -> 2.2318583914983137, adm -> 0.43383632699328034, aa -> 0.533772590344351, yy -> 0.808289389357597, xx -> 0.4040953972774637}}
{-3.670716792782508*^6, {theta -> 0.6030453749129833, t2 -> 2.214334313712147, adm -> 0.4385082780599208, aa -> 0.51545499470024, yy -> 0.8225238789496725, xx -> 0.3798313844785908}}
{-3.6784487434852384*^6, {theta -> 0.6745353177966514, t2 -> 2.005967068030916, adm -> 0.3685071437823582, aa -> 0.5268058405068031, yy -> 0.8997139540325751, xx -> 0.42280773204325317}}
{-3.673797194507289*^6, {theta -> 0.44931545415965835, t2 -> 3.319694527842641, adm -> 0.5852813682932364, aa -> 0.5129630231762293, yy -> 0.5900788931898417, xx -> 0.3345516243406558}}
{-3.669610045443002*^6, {theta -> 0.5061059048803449, t2 -> 2.859222149843185, adm -> 0.49361958279810025, aa -> 0.5726161430782876, yy -> 0.6629927766589597, xx -> 0.3669748024239342}}
{-3.67304179097085*^6, {theta -> 0.667325170220056, t2 -> 2.063960575307191, adm -> 0.3818380257698195, aa -> 0.524428161847814, yy -> 0.9126515477033704, xx -> 0.4488522357499679}}
{-3.6726770014293296*^6, {theta -> 0.5193225876178997, t2 -> 2.8974592638527583, adm -> 0.48595786025503857, aa -> 0.5591769155170107, yy -> 0.6991333803262381, xx -> 0.3375922560456497}}
{-3.6770337920035385*^6, {theta -> 0.6731530803894374, t2 -> 2.0483963197695223, adm -> 0.4095622849741944, aa -> 0.5359337686401046, yy -> 0.9293173855125325, xx -> 0.3669542028675961}}
{-3.6700907361459276*^6, {theta -> 0.49543662415714196, t2 -> 3.110005170891553, adm -> 0.4717368368417255, aa -> 0.5183670555563091, yy -> 0.6563742395016021, xx -> 0.46063259311069704}}
{-3.666398181429836*^6, {theta -> 0.4319933672026426, t2 -> 3.5263849491942474, adm -> 0.5766838975018597, aa -> 0.507910189521436, yy -> 0.5599088125292044, xx -> 0.35394588187374637}}
{-3.673463764266436*^6, {theta -> 0.5543695736670227, t2 -> 2.8671871694447097, adm -> 0.45090495295829924, aa -> 0.6012718607375303, yy -> 0.7428605360715355, xx -> 0.26839205236634267}}
{-3.6780391160462266*^6, {theta -> 0.656447676237369, t2 -> 2.04181938081485, adm -> 0.417789016233627, aa -> 0.5248465256818684, yy -> 0.9107015450671632, xx -> 0.36355653755688655}}
{-3.6786002996017216*^6, {theta -> 0.5740205607711628, t2 -> 2.3721333067497694, adm -> 0.4377136639910405, aa -> 0.477335954072867, yy -> 0.7702089862079389, xx -> 0.3861840198001361}}
{-3.6671351469788784*^6, {theta -> 0.3718496900392003, t2 -> 4.226965380554776, adm -> 0.7169341521766768, aa -> 0.5224800805614916, yy -> 0.4916788928173722, xx -> 0.28285304300612624}}
{-3.6714877909573875*^6, {theta -> 0.6000647428972142, t2 -> 2.2279087069601964, adm -> 0.4447020304570928, aa -> 0.5232386842632296, yy -> 0.8068170188056926, xx -> 0.4088898730928987}}
{-3.672908958135813*^6, {theta -> 0.6479350495315743, t2 -> 2.1149911519753526, adm -> 0.38385393268752777, aa -> 0.511236148466587, yy -> 0.8875003438144112, xx -> 0.3276235139928083}}
{-3.674938053602049*^6, {theta -> 0.6547688990334658, t2 -> 2., adm -> 0.43319028577763663, aa -> 0.5393725156801976, yy -> 0.9032936309446076, xx -> 0.4423870489234487}}
{-3.674171158770759*^6, {theta -> 0.6673539163392987, t2 -> 2.17507973320559, adm -> 0.4049715006578757, aa -> 0.572610981934055, yy -> 0.9201183874312082, xx -> 0.39560092200328095}}
{-3.675349698364814*^6, {theta -> 0.5062136563062677, t2 -> 3.145138980800647, adm -> 0.5250289757659947, aa -> 0.5982190367793556, yy -> 0.6974657770177493, xx -> 0.2462571312394221}}
{-3.6734929293968547*^6, {theta -> 0.5979323085328823, t2 -> 2.2604286140813263, adm -> 0.43005331646227285, aa -> 0.528726917540246, yy -> 0.8289164517682317, xx -> 0.26577183002713234}}
{-3.672580212656873*^6, {theta -> 0.5891520360096762, t2 -> 2.246481761935314, adm -> 0.4439727160261507, aa -> 0.5042328128052916, yy -> 0.78553001272592, xx -> 0.41217796307145776}}
{-3.681051031431586*^6, {theta -> 0.6557131278259248, t2 -> 2.0668457421688076, adm -> 0.38521255956616574, aa -> 0.516668809271903, yy -> 0.8931655925539883, xx -> 0.3053612472166426}}
{-3.677527786462872*^6, {theta -> 0.6861145727223352, t2 -> 2.0667592689706313, adm -> 0.3834085907294369, aa -> 0.5508122846904531, yy -> 0.9551639668635608, xx -> 0.38543369566829155}}
{-3.6667740647443878*^6, {theta -> 0.3948071155797882, t2 -> 3.898983984411291, adm -> 0.6544466830170984, aa -> 0.531885876424019, yy -> 0.49922822959733637, xx -> 0.3151617652368451}}
{-3.6696099449387887*^6, {theta -> 0.39258114113113474, t2 -> 3.9078518234134023, adm -> 0.5754932650371597, aa -> 0.5222123547921534, yy -> 0.48820744148415607, xx -> 0.3191273760235801}}
{-3.678185475132647*^6, {theta -> 0.6165723182178793, t2 -> 2.2981746365927265, adm -> 0.37485296859839723, aa -> 0.5132762305752587, yy -> 0.7994038256527939, xx -> 0.3382568626246342}}
{-3.6739315936378124*^6, {theta -> 0.5752830371376432, t2 -> 2.320250046114653, adm -> 0.4644771897948723, aa -> 0.5120208576438242, yy -> 0.7623559044139914, xx -> 0.4173123901958312}}
{-3.6791748160044425*^6, {theta -> 0.6118626416807702, t2 -> 2.4164738580709972, adm -> 0.44198259647217186, aa -> 0.5743888493400975, yy -> 0.8409488826816306, xx -> 0.3491209102759235}}
{-3.6778811664442495*^6, {theta -> 0.43478433964244123, t2 -> 3.4875358991632237, adm -> 0.5096770182141865, aa -> 0.4887837878364494, yy -> 0.5411110766732455, xx -> 0.35519193030754614}}
{-3.666077077430008*^6, {theta -> 0.39263317919807855, t2 -> 3.900675620019871, adm -> 0.6395922724591014, aa -> 0.5134960611277142, yy -> 0.5099884875578669, xx -> 0.3015592091850986}}
{-3.672718134334477*^6, {theta -> 0.6703615908353691, t2 -> 2., adm -> 0.3976074780614746, aa -> 0.5249054599813429, yy -> 0.9395606431792581, xx -> 0.4380464204640224}}
{-3.670453754519312*^6, {theta -> 0.5812357093606236, t2 -> 2.4958299159203294, adm -> 0.4377161080135487, aa -> 0.5707165352018357, yy -> 0.8153772062183233, xx -> 0.3418390930003111}}
