{-4.32012817405452*^6, {theta -> 0.828918529232639, t1 -> 0.14709185805695021, t2 -> 1.1916075805069584, aa -> 0.544006651936682, yy -> 0.19939261709256156, xx -> 2.2883492234628013}}
{-4.339115814169635*^6, {theta -> 0.9646495896044134, t1 -> 0.10336003114018602, t2 -> 0.8516262908484934, aa -> 0.23380991160579292, yy -> 0.21813592306730423, xx -> 3.2654976067337103}}
{-4.324199013518458*^6, {theta -> 0.8608049893150798, t1 -> 0.11599745132102476, t2 -> 1.1197908977152613, aa -> 0.451382885274474, yy -> 0.22800406636835224, xx -> 3.00322200671466}}
{-4.326918706120735*^6, {theta -> 0.8, t1 -> 0.15791927950747633, t2 -> 1.3233295302111023, aa -> 0.525910040589536, yy -> 0.23598777116705616, xx -> 2.0499948515346134}}
{-4.337238117497692*^6, {theta -> 0.8363628790250324, t1 -> 0.1677754276857284, t2 -> 1.1423766188661202, aa -> 0.427322932645381, yy -> 0.22860709077357072, xx -> 2.0086726475565344}}
{-4.335481018377495*^6, {theta -> 0.802068538542843, t1 -> 0.16439438928945632, t2 -> 1.2710880565383353, aa -> 0.4547974974047645, yy -> 0.22498822901177945, xx -> 2.0000020664226534}}
{-4.341852451815551*^6, {theta -> 0.8019362475418363, t1 -> 0.1814206422988972, t2 -> 1.2639884404382546, aa -> 0.39122072507001115, yy -> 0.23140641244033353, xx -> 2.039882822648866}}
{-4.332771770730211*^6, {theta -> 0.8587808084048308, t1 -> 0.11960547379481445, t2 -> 1.1200060311275903, aa -> 0.4376702190290821, yy -> 0.23030844746328982, xx -> 2.855211133586712}}
{-4.337572198589791*^6, {theta -> 0.8, t1 -> 0.17736389216997012, t2 -> 1.2247244919920766, aa -> 0.40439758432147926, yy -> 0.21714408191954654, xx -> 2.}}
{-4.330521610040436*^6, {theta -> 0.8830201296607563, t1 -> 0.13102634226686471, t2 -> 1.0316983278539016, aa -> 0.4002007381890404, yy -> 0.23078664895172613, xx -> 2.545545325419219}}
{-4.339957722917404*^6, {theta -> 0.8232990183319783, t1 -> 0.11337343437830993, t2 -> 1.2675667506171728, aa -> 0.43946415619978735, yy -> 0.22270260361331967, xx -> 2.850183978461728}}
{-4.318781987823369*^6, {theta -> 0.8041136419337296, t1 -> 0.1519123287159358, t2 -> 1.298672917989321, aa -> 0.5936021759191062, yy -> 0.2244123467713135, xx -> 2.2012020748692507}}
{-4.331136739626445*^6, {theta -> 0.8019468389539094, t1 -> 0.16789745723274957, t2 -> 1.2587752736658882, aa -> 0.4222069709140226, yy -> 0.2291808215172527, xx -> 2.0000078200771787}}
{-4.323912701444335*^6, {theta -> 0.8274067604393145, t1 -> 0.16522524095849878, t2 -> 1.1738377369404411, aa -> 0.45964962925238106, yy -> 0.23306178804762756, xx -> 2.1477568977713704}}
{-4.332945389561372*^6, {theta -> 0.8596673608980558, t1 -> 0.1547356180922188, t2 -> 1.0758920872919022, aa -> 0.3840092219280964, yy -> 0.22672056054723058, xx -> 2.253799074732211}}
{-4.339685823264325*^6, {theta -> 0.844263170565533, t1 -> 0.1476601599241146, t2 -> 1.1369185341897263, aa -> 0.34974251576185544, yy -> 0.22903600592362372, xx -> 2.361342406021015}}
{-4.327963040202567*^6, {theta -> 0.8569040462077839, t1 -> 0.1335334914268756, t2 -> 1.1188450884926695, aa -> 0.47187235437370706, yy -> 0.2295623029533101, xx -> 2.276882206408816}}
{-4.32811923028914*^6, {theta -> 0.8, t1 -> 0.16395565774516824, t2 -> 1.2574436336998205, aa -> 0.48061356146989204, yy -> 0.21640767222310114, xx -> 2.0406507905868585}}
{-4.332424263854995*^6, {theta -> 0.8194647898688143, t1 -> 0.13960957897989118, t2 -> 1.2378348578525258, aa -> 0.45598486028761737, yy -> 0.22645591213915578, xx -> 2.4676295880247148}}
