{-1.2798948858688935*^6, {theta -> 1.2707759880503073, t1 -> 0.12786000661871838, t2 -> 0.11431739682815717, adm -> 0.13585272186879052, aa -> 0.09983747077968899, yy -> 6.678021743678613, xx -> 13.518875030645441}}
{-1.277516542805085*^6, {theta -> 1.304872086578385, t1 -> 0.11498651689617105, t2 -> 0.10596200512545007, adm -> 0.13826297768052298, aa -> 0.06871426040573145, yy -> 6.979152459276699, xx -> 13.840024750284407}}
{-1.2832561057796618*^6, {theta -> 1.2905119888918677, t1 -> 0.08493434094651386, t2 -> 0.1133634401442255, adm -> 0.17287360553714962, aa -> 0.1118202066094197, yy -> 6.63045230018252, xx -> 13.68270357172683}}
{-1.2842265257217195*^6, {theta -> 1.277160818629516, t1 -> 0.15063013808057593, t2 -> 0.1017511033921534, adm -> 0.11804790831366935, aa -> 0.049339845516960135, yy -> 6.4869697747552495, xx -> 13.02959480847148}}
{-1.2782545430673228*^6, {theta -> 1.2670582466525229, t1 -> 0.09420976100389356, t2 -> 0.1194726831739417, adm -> 0.16594430211002884, aa -> 0.09964388088711558, yy -> 6.401050539732269, xx -> 13.310463776316578}}
{-1.27565194121947*^6, {theta -> 1.2840169556001277, t1 -> 0.09261272546831979, t2 -> 0.10658630730589161, adm -> 0.16306053105657348, aa -> 0.08287818584048481, yy -> 6.7924403390997155, xx -> 13.699902156176003}}
{-1.2808663189231288*^6, {theta -> 1.282055612382834, t1 -> 0.0998426069789953, t2 -> 0.11178448424278314, adm -> 0.16264155997723365, aa -> 0.10308568473132904, yy -> 6.748941578322921, xx -> 13.559556179884693}}
{-1.2816906627213883*^6, {theta -> 1.3007058043608404, t1 -> 0.09913771460981609, t2 -> 0.11824470627534067, adm -> 0.15060961021355326, aa -> 0.11594055820704076, yy -> 6.814923867834375, xx -> 13.82445190697599}}
{-1.2740834669601289*^6, {theta -> 1.2635888128013244, t1 -> 0.09345951895734515, t2 -> 0.11347887325423955, adm -> 0.17064908521507544, aa -> 0.11479096018480331, yy -> 6.746582817007468, xx -> 13.568657910659322}}
{-1.276983891243802*^6, {theta -> 1.283399962969219, t1 -> 0.08199992226698082, t2 -> 0.11429731888042095, adm -> 0.17649638197356882, aa -> 0.10299281314373836, yy -> 6.707765373134469, xx -> 13.737510197413677}}
