{-7.198698866834756*^6, {theta -> 1.0750146248384709, t2 -> 1.5029412269762632, adm -> 0.5677186254628678, aa -> 0.77191103952244, yy -> 0.10638890864576854, xx -> 1.2909463461880915}}
{-7.19738126706435*^6, {theta -> 1.0663560208735816, t2 -> 1.5012547545816206, adm -> 0.570838329527873, aa -> 0.7771922675017691, yy -> 0.10006484913061875, xx -> 1.2682132666699923}}
{-7.200739518154553*^6, {theta -> 1.104572330050839, t2 -> 1.5047744928924804, adm -> 0.5571714558907364, aa -> 0.7797768480105738, yy -> 0.12994489685070304, xx -> 1.3214582422715608}}
{-7.200954053033028*^6, {theta -> 1.0702563534683287, t2 -> 1.5046647708061922, adm -> 0.566789757032796, aa -> 0.7765343743198174, yy -> 0.10124323608416738, xx -> 1.2667397654482464}}
{-7.196846155061*^6, {theta -> 1.0674248333757514, t2 -> 1.504728606951335, adm -> 0.5709126601120124, aa -> 0.7749931104118222, yy -> 0.10501636452266687, xx -> 1.2751618067759503}}
{-7.2028868141268045*^6, {theta -> 1.0929051235307152, t2 -> 1.5349467866154427, adm -> 0.554138959506717, aa -> 0.7880794275331109, yy -> 0.11760502366316847, xx -> 1.2854495604209264}}
{-7.190764411650613*^6, {theta -> 1.0806202094392512, t2 -> 1.5013230939591933, adm -> 0.5645009772941869, aa -> 0.7762927476782266, yy -> 0.10000129405467567, xx -> 1.2974307242801508}}
{-7.2036903933225665*^6, {theta -> 1.0689582511546165, t2 -> 1.5092531184347582, adm -> 0.5684414307711453, aa -> 0.7795936049522718, yy -> 0.10159565582160875, xx -> 1.2654250902911635}}
{-7.201683398672251*^6, {theta -> 1.1001035296473638, t2 -> 1.5009297658769265, adm -> 0.5559938816631853, aa -> 0.7827431758777641, yy -> 0.1, xx -> 1.3102969378294156}}
{-7.198675476738511*^6, {theta -> 1.0799329314612458, t2 -> 1.5067092552239039, adm -> 0.5662288234015548, aa -> 0.7728601840694471, yy -> 0.10161211582987692, xx -> 1.2898287045267605}}
{-7.19894802457761*^6, {theta -> 1.1292205583444357, t2 -> 1.5015244330274085, adm -> 0.5517620553649876, aa -> 0.7880355744210542, yy -> 0.1, xx -> 1.3636847857932133}}
{-7.193845607166559*^6, {theta -> 1.0871168417452681, t2 -> 1.5000653504348933, adm -> 0.5641240016220292, aa -> 0.7827316296890483, yy -> 0.1, xx -> 1.3004809204645615}}
{-7.199442695921259*^6, {theta -> 1.1075110503754897, t2 -> 1.7944866219105067, adm -> 0.5681676301757572, aa -> 0.8202269600518951, yy -> 0.15754829338695148, xx -> 1.335051135137324}}
{-7.199740485692304*^6, {theta -> 1.0805925131967764, t2 -> 1.5162083903332548, adm -> 0.5675843455126064, aa -> 0.7811669490105699, yy -> 0.10416276193600782, xx -> 1.2855870599576045}}
{-7.2044157596389*^6, {theta -> 1.0521232750311649, t2 -> 1.549684168799654, adm -> 0.5864463170793637, aa -> 0.783907730547531, yy -> 0.11292894800441403, xx -> 1.2408095161596524}}
{-7.197090947297048*^6, {theta -> 1.0724714400427438, t2 -> 1.5, adm -> 0.5724842738141862, aa -> 0.7779034951407241, yy -> 0.10304132891178977, xx -> 1.2859519215466364}}
{-7.206405604577001*^6, {theta -> 1.083415078169168, t2 -> 1.5, adm -> 0.5609364725844814, aa -> 0.7739901227305056, yy -> 0.1, xx -> 1.2766941945733246}}
{-7.196197084749891*^6, {theta -> 1.0576073793849803, t2 -> 1.5361336092773819, adm -> 0.5725310578471554, aa -> 0.7782668390371621, yy -> 0.10716981379875751, xx -> 1.2594973308610762}}
{-7.201226689586481*^6, {theta -> 1.084541455268746, t2 -> 1.501757234344177, adm -> 0.5666315502025372, aa -> 0.781708757934459, yy -> 0.10184206687727336, xx -> 1.289815509823057}}
{-7.198058071862297*^6, {theta -> 1.090073768116821, t2 -> 1.5, adm -> 0.5666874225418544, aa -> 0.7786669909362663, yy -> 0.10076368601850758, xx -> 1.308272676725807}}
